month,model,n,mae,rmse,bias,corr
2025-09,direct_iso[ens_ws100_mid],1436,0.1641,0.2156,-0.0005,0.7728
2025-10,climatology,1382,0.3229,0.3589,0.1247,0.1124
2025-10,persistence_D,1292,0.3303,0.4563,-0.0224,0.0586
2025-10,curve[wind_speed_100m__ecmwf_ifs],1382,0.165,0.2519,-0.1054,0.7298
2025-10,curve[ens_ws100_mean],1382,0.1555,0.2371,-0.0397,0.7205
2025-10,curve[ens_ws100_mean]+linear_cal,1382,0.1595,0.2353,-0.0396,0.7205
2025-10,direct_iso[wind_speed_100m__ecmwf_ifs],1382,0.1753,0.2279,0.0036,0.7368
2025-10,direct_iso[ens_ws100_mean],1382,0.1727,0.232,0.0003,0.7215
2025-10,direct_iso[ens_ws100_mid],1382,0.1705,0.2295,-0.0017,0.7284
2025-11,climatology,1440,0.3472,0.3802,0.0497,0.0354
2025-11,persistence_D,1440,0.4018,0.5147,0.0192,0.0552
2025-11,curve[wind_speed_100m__ecmwf_ifs],1440,0.1937,0.283,-0.1455,0.7632
2025-11,curve[ens_ws100_mean],1440,0.1471,0.2173,-0.0038,0.8212
2025-11,curve[ens_ws100_mean]+linear_cal,1440,0.1496,0.2142,-0.0111,0.8228
2025-11,direct_iso[wind_speed_100m__ecmwf_ifs],1440,0.1915,0.2415,-0.0433,0.7869
2025-11,direct_iso[ens_ws100_mean],1440,0.1647,0.2154,0.0147,0.8219
2025-11,direct_iso[ens_ws100_mid],1440,0.1633,0.215,0.017,0.8224
2025-12,climatology,1464,0.353,0.3828,0.0374,0.1166
2025-12,persistence_D,1441,0.3828,0.4978,-0.0341,0.1533
2025-12,curve[wind_speed_100m__ecmwf_ifs],1464,0.2264,0.3205,-0.1457,0.6739
2025-12,curve[ens_ws100_mean],1464,0.1902,0.2715,0.0115,0.7302
2025-12,curve[ens_ws100_mean]+linear_cal,1464,0.1902,0.2649,-0.0005,0.7341
2025-12,direct_iso[wind_speed_100m__ecmwf_ifs],1464,0.2208,0.2837,-0.045,0.6827
2025-12,direct_iso[ens_ws100_mean],1464,0.2002,0.261,0.0191,0.7348
2025-12,direct_iso[ens_ws100_mid],1464,0.1937,0.2545,0.0207,0.7502
2026-01,climatology,1466,0.2888,0.3377,0.0125,0.1048
2026-01,persistence_D,1444,0.3712,0.4853,-0.0092,-0.0172
2026-01,curve[wind_speed_100m__ecmwf_ifs],1466,0.1741,0.2566,-0.0872,0.7021
2026-01,curve[ens_ws100_mean],1466,0.1999,0.2862,0.1089,0.6989
2026-01,curve[ens_ws100_mean]+linear_cal,1466,0.1944,0.2705,0.0966,0.7065
2026-01,direct_iso[wind_speed_100m__ecmwf_ifs],1466,0.1898,0.2404,0.0279,0.7111
2026-01,direct_iso[ens_ws100_mean],1466,0.2102,0.2724,0.1184,0.7025
2026-01,direct_iso[ens_ws100_mid],1466,0.2083,0.2712,0.1194,0.7088
