month,config,n,mae_p50,rmse_mean,rmse_p50,bias_p50,mae_baseline,rmse_baseline,pinball_avg,coverage_80,width_80,mae_gain_vs_baseline
2025-02,full,1318,0.168,0.2368,0.2406,-0.0063,0.1842,0.2504,0.0505,0.761,0.4702,0.0882
2025-02,no_curve,1318,0.1689,0.2369,0.2422,-0.0032,0.1842,0.2504,0.0506,0.7595,0.4663,0.0833
2025-02,ecmwf_only,1318,0.1721,0.2495,0.2508,0.0181,0.1842,0.2504,0.0519,0.8141,0.5454,0.0656
2025-03,full,1462,0.17,0.2436,0.2486,-0.0545,0.1837,0.2579,0.055,0.7565,0.5471,0.075
2025-03,no_curve,1462,0.1704,0.2414,0.25,-0.054,0.1837,0.2579,0.0544,0.7832,0.5593,0.0724
2025-03,ecmwf_only,1462,0.177,0.2528,0.2629,-0.0472,0.1837,0.2579,0.0565,0.7674,0.5457,0.0369
2025-04,full,1400,0.1617,0.2231,0.2244,-0.0187,0.1742,0.2361,0.0493,0.85,0.5603,0.072
2025-04,no_curve,1400,0.1617,0.2257,0.2234,-0.0151,0.1742,0.2361,0.0494,0.8314,0.5535,0.0719
2025-04,ecmwf_only,1400,0.176,0.2415,0.247,0.0008,0.1742,0.2361,0.0535,0.7914,0.5789,-0.0103
2025-05,full,1416,0.1693,0.2421,0.2505,-0.028,0.1782,0.2565,0.0528,0.8008,0.5325,0.0502
2025-05,no_curve,1416,0.1701,0.2413,0.2504,-0.0321,0.1782,0.2565,0.0529,0.7952,0.5254,0.0454
2025-05,ecmwf_only,1416,0.1759,0.2512,0.2537,-0.0239,0.1782,0.2565,0.0546,0.8333,0.5928,0.0129
2025-06,full,1412,0.1891,0.2493,0.2663,-0.0994,0.1932,0.2712,0.0578,0.7734,0.5205,0.0211
2025-06,no_curve,1412,0.1886,0.2475,0.2653,-0.1004,0.1932,0.2712,0.0578,0.7925,0.5297,0.0234
2025-06,ecmwf_only,1412,0.1989,0.263,0.2821,-0.1025,0.1932,0.2712,0.0616,0.7769,0.5671,-0.0298
2025-07,full,1456,0.1493,0.2128,0.2093,-0.02,0.1512,0.2153,0.0467,0.8413,0.5427,0.0126
2025-07,no_curve,1456,0.1476,0.2137,0.2088,-0.0221,0.1512,0.2153,0.0464,0.851,0.5525,0.0233
2025-07,ecmwf_only,1456,0.1616,0.2286,0.2278,-0.0413,0.1512,0.2153,0.05,0.8338,0.5804,-0.0688
2025-08,full,1474,0.1665,0.2302,0.2362,-0.068,0.1711,0.2378,0.0504,0.8243,0.5186,0.0268
2025-08,no_curve,1474,0.1649,0.228,0.2374,-0.0729,0.1711,0.2378,0.05,0.8338,0.5245,0.036
2025-08,ecmwf_only,1474,0.1842,0.2466,0.2555,-0.0829,0.1711,0.2378,0.0546,0.8175,0.5832,-0.0766
2025-09,full,1436,0.1429,0.2086,0.2147,-0.0409,0.1518,0.2176,0.0466,0.8029,0.4379,0.0583
2025-09,no_curve,1436,0.1421,0.2079,0.214,-0.0415,0.1518,0.2176,0.0463,0.7981,0.4391,0.0635
2025-09,ecmwf_only,1436,0.1518,0.2207,0.2292,-0.042,0.1518,0.2176,0.049,0.7786,0.4713,0.0002
2025-10,full,1382,0.149,0.2219,0.2274,-0.0448,0.1595,0.2353,0.047,0.7786,0.4813,0.066
2025-10,no_curve,1382,0.1474,0.2209,0.2261,-0.0471,0.1595,0.2353,0.0465,0.7887,0.4755,0.0756
2025-10,ecmwf_only,1382,0.1556,0.235,0.2335,-0.0397,0.1595,0.2353,0.0484,0.7511,0.5076,0.0245
2025-11,full,1440,0.1376,0.2086,0.2059,-0.0047,0.1496,0.2142,0.043,0.816,0.4772,0.08
2025-11,no_curve,1440,0.1369,0.2124,0.2046,-0.0023,0.1496,0.2142,0.0428,0.8319,0.483,0.0848
2025-11,ecmwf_only,1440,0.1507,0.2192,0.2196,-0.0308,0.1496,0.2142,0.0471,0.8569,0.5649,-0.0078
2025-12,full,1464,0.1802,0.2558,0.2656,0.0121,0.1902,0.2649,0.0559,0.7514,0.4453,0.0524
2025-12,no_curve,1464,0.1791,0.2538,0.2649,0.0113,0.1902,0.2649,0.0556,0.7418,0.4523,0.0583
2025-12,ecmwf_only,1464,0.1967,0.277,0.2946,-0.0205,0.1902,0.2649,0.0613,0.7712,0.5149,-0.0346
2026-01,full,1466,0.1668,0.2433,0.2441,0.0534,0.1944,0.2705,0.0513,0.7374,0.4916,0.142
2026-01,no_curve,1466,0.1644,0.2437,0.2414,0.0506,0.1944,0.2705,0.051,0.7353,0.5024,0.1544
2026-01,ecmwf_only,1466,0.1618,0.2347,0.2419,0.0242,0.1944,0.2705,0.0499,0.7203,0.5219,0.1676
