issue_date,issue_time_utc,hours,runs_ecmwf_ifs,runs_ecmwf_ifs025,runs_gfs_seamless,runs_icon_seamless,latest_publication_utc
2026-01-31,2026-01-31 04:00:00,48,2026-01-30 18z,"2026-01-30 00z, 2026-01-30 06z, 2026-01-30 12z, 2026-01-30 18z","2026-01-30 00z, 2026-01-30 06z, 2026-01-30 12z, 2026-01-30 18z","2026-01-30 00z, 2026-01-30 06z, 2026-01-30 12z, 2026-01-30 18z",2026-01-31 02:00:00
2026-02-01,2026-02-01 04:00:00,48,2026-01-31 18z,"2026-01-31 00z, 2026-01-31 06z, 2026-01-31 12z, 2026-01-31 18z","2026-01-31 00z, 2026-01-31 06z, 2026-01-31 12z, 2026-01-31 18z","2026-01-31 00z, 2026-01-31 06z, 2026-01-31 12z, 2026-01-31 18z",2026-02-01 02:00:00
2026-02-02,2026-02-02 04:00:00,48,2026-02-01 18z,"2026-02-01 00z, 2026-02-01 06z, 2026-02-01 12z, 2026-02-01 18z","2026-02-01 00z, 2026-02-01 06z, 2026-02-01 12z, 2026-02-01 18z","2026-02-01 00z, 2026-02-01 06z, 2026-02-01 12z, 2026-02-01 18z",2026-02-02 02:00:00
2026-02-03,2026-02-03 04:00:00,48,2026-02-02 18z,"2026-02-02 00z, 2026-02-02 06z, 2026-02-02 12z, 2026-02-02 18z","2026-02-02 00z, 2026-02-02 06z, 2026-02-02 12z, 2026-02-02 18z","2026-02-02 00z, 2026-02-02 06z, 2026-02-02 12z, 2026-02-02 18z",2026-02-03 02:00:00
2026-02-04,2026-02-04 04:00:00,48,2026-02-03 18z,"2026-02-03 00z, 2026-02-03 06z, 2026-02-03 12z, 2026-02-03 18z","2026-02-03 00z, 2026-02-03 06z, 2026-02-03 12z, 2026-02-03 18z","2026-02-03 00z, 2026-02-03 06z, 2026-02-03 12z, 2026-02-03 18z",2026-02-04 02:00:00
2026-02-05,2026-02-05 04:00:00,48,2026-02-04 18z,"2026-02-04 00z, 2026-02-04 06z, 2026-02-04 12z, 2026-02-04 18z","2026-02-04 00z, 2026-02-04 06z, 2026-02-04 12z, 2026-02-04 18z","2026-02-04 00z, 2026-02-04 06z, 2026-02-04 12z, 2026-02-04 18z",2026-02-05 02:00:00
2026-02-06,2026-02-06 04:00:00,48,2026-02-05 18z,"2026-02-05 00z, 2026-02-05 06z, 2026-02-05 12z, 2026-02-05 18z","2026-02-05 00z, 2026-02-05 06z, 2026-02-05 12z, 2026-02-05 18z","2026-02-05 00z, 2026-02-05 06z, 2026-02-05 12z, 2026-02-05 18z",2026-02-06 02:00:00
2026-02-07,2026-02-07 04:00:00,48,2026-02-06 18z,"2026-02-06 00z, 2026-02-06 06z, 2026-02-06 12z, 2026-02-06 18z","2026-02-06 00z, 2026-02-06 06z, 2026-02-06 12z, 2026-02-06 18z","2026-02-06 00z, 2026-02-06 06z, 2026-02-06 12z, 2026-02-06 18z",2026-02-07 02:00:00
2026-02-08,2026-02-08 04:00:00,48,2026-02-07 18z,"2026-02-07 00z, 2026-02-07 06z, 2026-02-07 12z, 2026-02-07 18z","2026-02-07 00z, 2026-02-07 06z, 2026-02-07 12z, 2026-02-07 18z","2026-02-07 00z, 2026-02-07 06z, 2026-02-07 12z, 2026-02-07 18z",2026-02-08 02:00:00
2026-02-09,2026-02-09 04:00:00,48,2026-02-08 18z,"2026-02-08 00z, 2026-02-08 06z, 2026-02-08 12z, 2026-02-08 18z","2026-02-08 00z, 2026-02-08 06z, 2026-02-08 12z, 2026-02-08 18z","2026-02-08 00z, 2026-02-08 06z, 2026-02-08 12z, 2026-02-08 18z",2026-02-09 02:00:00
2026-02-10,2026-02-10 04:00:00,48,2026-02-09 18z,"2026-02-09 00z, 2026-02-09 06z, 2026-02-09 12z, 2026-02-09 18z","2026-02-09 00z, 2026-02-09 06z, 2026-02-09 12z, 2026-02-09 18z","2026-02-09 00z, 2026-02-09 06z, 2026-02-09 12z, 2026-02-09 18z",2026-02-10 02:00:00
2026-02-11,2026-02-11 04:00:00,48,2026-02-10 18z,"2026-02-10 00z, 2026-02-10 06z, 2026-02-10 12z, 2026-02-10 18z","2026-02-10 00z, 2026-02-10 06z, 2026-02-10 12z, 2026-02-10 18z","2026-02-10 00z, 2026-02-10 06z, 2026-02-10 12z, 2026-02-10 18z",2026-02-11 02:00:00
2026-02-12,2026-02-12 04:00:00,48,2026-02-11 18z,"2026-02-11 00z, 2026-02-11 06z, 2026-02-11 12z, 2026-02-11 18z","2026-02-11 00z, 2026-02-11 06z, 2026-02-11 12z, 2026-02-11 18z","2026-02-11 00z, 2026-02-11 06z, 2026-02-11 12z, 2026-02-11 18z",2026-02-12 02:00:00
2026-02-13,2026-02-13 04:00:00,48,2026-02-12 18z,"2026-02-12 00z, 2026-02-12 06z, 2026-02-12 12z, 2026-02-12 18z","2026-02-12 00z, 2026-02-12 06z, 2026-02-12 12z, 2026-02-12 18z","2026-02-12 00z, 2026-02-12 06z, 2026-02-12 12z, 2026-02-12 18z",2026-02-13 02:00:00
2026-02-14,2026-02-14 04:00:00,48,2026-02-13 18z,"2026-02-13 00z, 2026-02-13 06z, 2026-02-13 12z, 2026-02-13 18z","2026-02-13 00z, 2026-02-13 06z, 2026-02-13 12z, 2026-02-13 18z","2026-02-13 00z, 2026-02-13 06z, 2026-02-13 12z, 2026-02-13 18z",2026-02-14 02:00:00
2026-02-15,2026-02-15 04:00:00,48,2026-02-14 18z,"2026-02-14 00z, 2026-02-14 06z, 2026-02-14 12z, 2026-02-14 18z","2026-02-14 00z, 2026-02-14 06z, 2026-02-14 12z, 2026-02-14 18z","2026-02-14 00z, 2026-02-14 06z, 2026-02-14 12z, 2026-02-14 18z",2026-02-15 02:00:00
2026-02-16,2026-02-16 04:00:00,48,2026-02-15 18z,"2026-02-15 00z, 2026-02-15 06z, 2026-02-15 12z, 2026-02-15 18z","2026-02-15 00z, 2026-02-15 06z, 2026-02-15 12z, 2026-02-15 18z","2026-02-15 00z, 2026-02-15 06z, 2026-02-15 12z, 2026-02-15 18z",2026-02-16 02:00:00
