issue_date,issue_time_utc,hours,runs_ecmwf_ifs,runs_ecmwf_ifs025,runs_gfs_seamless,runs_icon_seamless,latest_publication_utc
2026-02-17,2026-02-17 04:00:00,48,2026-02-16 18z,"2026-02-16 00z, 2026-02-16 06z, 2026-02-16 12z, 2026-02-16 18z","2026-02-16 00z, 2026-02-16 06z, 2026-02-16 12z, 2026-02-16 18z","2026-02-16 00z, 2026-02-16 06z, 2026-02-16 12z, 2026-02-16 18z",2026-02-17 02:00:00
2026-02-18,2026-02-18 04:00:00,48,2026-02-17 18z,"2026-02-17 00z, 2026-02-17 06z, 2026-02-17 12z, 2026-02-17 18z","2026-02-17 00z, 2026-02-17 06z, 2026-02-17 12z, 2026-02-17 18z","2026-02-17 00z, 2026-02-17 06z, 2026-02-17 12z, 2026-02-17 18z",2026-02-18 02:00:00
2026-02-19,2026-02-19 04:00:00,48,2026-02-18 18z,"2026-02-18 00z, 2026-02-18 06z, 2026-02-18 12z, 2026-02-18 18z","2026-02-18 00z, 2026-02-18 06z, 2026-02-18 12z, 2026-02-18 18z","2026-02-18 00z, 2026-02-18 06z, 2026-02-18 12z, 2026-02-18 18z",2026-02-19 02:00:00
2026-02-20,2026-02-20 04:00:00,48,2026-02-19 18z,"2026-02-19 00z, 2026-02-19 06z, 2026-02-19 12z, 2026-02-19 18z","2026-02-19 00z, 2026-02-19 06z, 2026-02-19 12z, 2026-02-19 18z","2026-02-19 00z, 2026-02-19 06z, 2026-02-19 12z, 2026-02-19 18z",2026-02-20 02:00:00
2026-02-21,2026-02-21 04:00:00,48,2026-02-20 18z,"2026-02-20 00z, 2026-02-20 06z, 2026-02-20 12z, 2026-02-20 18z","2026-02-20 00z, 2026-02-20 06z, 2026-02-20 12z, 2026-02-20 18z","2026-02-20 00z, 2026-02-20 06z, 2026-02-20 12z, 2026-02-20 18z",2026-02-21 02:00:00
2026-02-22,2026-02-22 04:00:00,48,2026-02-21 18z,"2026-02-21 00z, 2026-02-21 06z, 2026-02-21 12z, 2026-02-21 18z","2026-02-21 00z, 2026-02-21 06z, 2026-02-21 12z, 2026-02-21 18z","2026-02-21 00z, 2026-02-21 06z, 2026-02-21 12z, 2026-02-21 18z",2026-02-22 02:00:00
2026-02-23,2026-02-23 04:00:00,48,2026-02-22 18z,"2026-02-22 00z, 2026-02-22 06z, 2026-02-22 12z, 2026-02-22 18z","2026-02-22 00z, 2026-02-22 06z, 2026-02-22 12z, 2026-02-22 18z","2026-02-22 00z, 2026-02-22 06z, 2026-02-22 12z, 2026-02-22 18z",2026-02-23 02:00:00
2026-02-24,2026-02-24 04:00:00,48,2026-02-23 18z,"2026-02-23 00z, 2026-02-23 06z, 2026-02-23 12z, 2026-02-23 18z","2026-02-23 00z, 2026-02-23 06z, 2026-02-23 12z, 2026-02-23 18z","2026-02-23 00z, 2026-02-23 06z, 2026-02-23 12z, 2026-02-23 18z",2026-02-24 02:00:00
2026-02-25,2026-02-25 04:00:00,48,2026-02-24 18z,"2026-02-24 00z, 2026-02-24 06z, 2026-02-24 12z, 2026-02-24 18z","2026-02-24 00z, 2026-02-24 06z, 2026-02-24 12z, 2026-02-24 18z","2026-02-24 00z, 2026-02-24 06z, 2026-02-24 12z, 2026-02-24 18z",2026-02-25 02:00:00
2026-02-26,2026-02-26 04:00:00,48,2026-02-25 18z,"2026-02-25 00z, 2026-02-25 06z, 2026-02-25 12z, 2026-02-25 18z","2026-02-25 00z, 2026-02-25 06z, 2026-02-25 12z, 2026-02-25 18z","2026-02-25 00z, 2026-02-25 06z, 2026-02-25 12z, 2026-02-25 18z",2026-02-26 02:00:00
2026-02-27,2026-02-27 04:00:00,48,2026-02-26 18z,"2026-02-26 00z, 2026-02-26 06z, 2026-02-26 12z, 2026-02-26 18z","2026-02-26 00z, 2026-02-26 06z, 2026-02-26 12z, 2026-02-26 18z","2026-02-26 00z, 2026-02-26 06z, 2026-02-26 12z, 2026-02-26 18z",2026-02-27 02:00:00
