,gain
curve__ens_ws100_mid,30634.347727417946
ens_ws100_mid,24469.787066221237
ens_ws100_lead1,18361.049696922302
ens_ws100_roll3,5951.855146884918
ens_ws100_roll6,4971.393465280533
ec_ws100_roll6,4736.584728002548
curve__ens_ws100_roll3,4726.563401341438
doy_sin,4549.906058073044
doy_cos,4347.135663986206
ens_ws10_mean,3381.053132891655
wind_speed_10m__ecmwf_ifs025,2565.7709246873856
relative_humidity_2m__ecmwf_ifs,2334.0322394371033
wd100_sin__gfs_seamless,2027.7045081853867
ens_ws100_mean_cube_rho,1735.8879690170288
ec_ws100_lead1,1549.3137167692184
boundary_layer_height__ecmwf_ifs,1438.5475243330002
ens_wd_sin,1266.5368086099625
wd100_cos__ecmwf_ifs,1224.5231083631516
shear__icon_seamless,1220.603437423706
ec_ws100_roll3,1214.5228902101517
shear__ecmwf_ifs025,1205.039708852768
temperature_2m__gfs_seamless,1137.4020068645477
rho__ecmwf_ifs,1118.6673815250397
temperature_2m__ecmwf_ifs,1097.0337492227554
temperature_2m__icon_seamless,1088.9066903591156
shear__gfs_seamless,1087.2876508235931
wd100_sin__ecmwf_ifs,1075.9739490747452
wind_speed_100m__ecmwf_ifs025,1059.3779311180115
rho__icon_seamless,1032.861238360405
hour_sin,1032.5167813301086
ec_ws100_mid,1029.0716091394424
wind_speed_10m__gfs_seamless,1016.2285286188126
shear__ecmwf_ifs,1008.5707193613052
wd100_cos__ecmwf_ifs025,984.0001907348633
wd100_cos__icon_seamless,958.7568109035492
ens_ws100_diff,892.2557599544525
wind_gusts_10m__ecmwf_ifs,892.097061753273
wind_gusts_10m__icon_seamless,862.1912289857864
temperature_2m__ecmwf_ifs025,856.9914480447769
rho__gfs_seamless,844.2053580284119
rho__ecmwf_ifs025,816.2430412769318
wind_speed_10m__icon_seamless,801.8069013357162
wd100_sin__ecmwf_ifs025,801.6381973028183
ens_wd_cos,796.6693607568741
hour_cos,783.0738005638123
lead_h__ecmwf_ifs,768.2935079336166
wd100_sin__icon_seamless,746.55109167099
ens_shear,745.238120675087
wind_gusts_10m__gfs_seamless,734.1208815574646
month,721.9886161088943
cape__ecmwf_ifs,700.418119430542
ens_ws100_min,693.8946967124939
ens_ws100_median,689.8720970153809
ens_ws100_std,680.7651815414429
ec_ws100_diff,670.1238995790482
wind_speed_100m__icon_seamless,661.0361392498016
wind_speed_10m__ecmwf_ifs,633.7960580587387
wd100_cos__gfs_seamless,575.772861123085
ec_ws100_lag1,556.8205480575562
wind_speed_100m__gfs_seamless,514.4936798810959
ens_ws100_lag1,486.92571091651917
ens_rho,470.58299911022186
ens_ws100_max,458.4945389032364
curve__ens_ws100_mean,268.8249840736389
wind_speed_100m__ecmwf_ifs,268.0478004217148
lead_from_issue_h,236.63386023044586
ens_ws100_mean,200.55648040771484
curve__wind_speed_100m__ecmwf_ifs,197.38009095191956
lead_h__ecmwf_ifs025,151.08031022548676
lead_h__gfs_seamless,45.90505015850067
lead_h__icon_seamless,13.475199937820435
day_ahead,7.067270040512085
ens_n_models,0.0
