scenario,issue,system,mae,excluded
none,2026-01-10,pipeline,0.24614666944931654,
none,2026-01-10,rules,0.23978120262337366,
none,2026-01-10,llm,0.23978120262337366,
none,2026-01-11,pipeline,0.17214364029726512,
none,2026-01-11,rules,0.16286466036531835,
none,2026-01-11,llm,0.16286466036531835,
none,2026-01-12,pipeline,0.12308355555965483,
none,2026-01-12,rules,0.10883350659829882,
none,2026-01-12,llm,0.10883350659829882,
none,2026-01-13,pipeline,0.0808843377621299,
none,2026-01-13,rules,0.08059742808354757,
none,2026-01-13,llm,0.08059742808354757,
none,2026-01-14,pipeline,0.07820715503998452,
none,2026-01-14,rules,0.09645474593101798,
none,2026-01-14,llm,0.09645474593101798,
none,2026-01-15,pipeline,0.1679920052832918,
none,2026-01-15,rules,0.1614481112045412,
none,2026-01-15,llm,0.1614481112045412,
none,2026-01-16,pipeline,0.18050808024640363,
none,2026-01-16,rules,0.16478666888722596,
none,2026-01-16,llm,0.18050808024640363,
none,2026-01-17,pipeline,0.22096366533626907,
none,2026-01-17,rules,0.2244201087536208,
none,2026-01-17,llm,0.22096366533626907,
none,2026-01-18,pipeline,0.22439865163090286,
none,2026-01-18,rules,0.22535429569743282,
none,2026-01-18,llm,0.22535429569743282,
none,2026-01-19,pipeline,0.12433637655184637,
none,2026-01-19,rules,0.13181657558831464,
none,2026-01-19,llm,0.12433637655184637,
gfs_garbage,2026-01-10,pipeline,0.40267167193243575,
gfs_garbage,2026-01-10,rules,0.22627022455958626,gfs_seamless
gfs_garbage,2026-01-10,llm,0.22627022455958626,gfs_seamless
gfs_garbage,2026-01-11,pipeline,0.1789511281043923,
gfs_garbage,2026-01-11,rules,0.18737587944128564,gfs_seamless
gfs_garbage,2026-01-11,llm,0.18737587944128564,gfs_seamless
gfs_garbage,2026-01-12,pipeline,0.20413911061053672,
gfs_garbage,2026-01-12,rules,0.17109615690497923,gfs_seamless
gfs_garbage,2026-01-12,llm,0.17109615690497923,gfs_seamless
gfs_garbage,2026-01-13,pipeline,0.17343824326790216,
gfs_garbage,2026-01-13,rules,0.10177430561424576,gfs_seamless
gfs_garbage,2026-01-13,llm,0.10177430561424576,gfs_seamless
gfs_garbage,2026-01-14,pipeline,0.2476199359657764,
gfs_garbage,2026-01-14,rules,0.08923214011246682,gfs_seamless
gfs_garbage,2026-01-14,llm,0.08923214011246682,gfs_seamless
gfs_garbage,2026-01-15,pipeline,0.3671077085137003,
gfs_garbage,2026-01-15,rules,0.15769652171005513,gfs_seamless
gfs_garbage,2026-01-15,llm,0.15769652171005513,gfs_seamless
gfs_garbage,2026-01-16,pipeline,0.3102943297706578,
gfs_garbage,2026-01-16,rules,0.15011407396337206,gfs_seamless
gfs_garbage,2026-01-16,llm,0.15011407396337206,gfs_seamless
gfs_garbage,2026-01-17,pipeline,0.47453402088678487,
gfs_garbage,2026-01-17,rules,0.20966527016552333,gfs_seamless
gfs_garbage,2026-01-17,llm,0.20212409406590964,gfs_seamless
gfs_garbage,2026-01-18,pipeline,0.47256358478888566,
gfs_garbage,2026-01-18,rules,0.18269377615776508,gfs_seamless
gfs_garbage,2026-01-18,llm,0.18704424771483272,gfs_seamless
gfs_garbage,2026-01-19,pipeline,0.24303890231304515,
gfs_garbage,2026-01-19,rules,0.12995483249401002,gfs_seamless
gfs_garbage,2026-01-19,llm,0.12995483249401002,gfs_seamless
icon_outage,2026-01-10,pipeline,0.2751082044840861,
icon_outage,2026-01-10,rules,0.2655586892901968,
icon_outage,2026-01-10,llm,0.2751082044840861,
icon_outage,2026-01-11,pipeline,0.15275337383333135,
icon_outage,2026-01-11,rules,0.14379874648736926,
icon_outage,2026-01-11,llm,0.14379874648736926,
icon_outage,2026-01-12,pipeline,0.11405049856610032,
icon_outage,2026-01-12,rules,0.10866233165388865,
icon_outage,2026-01-12,llm,0.10866233165388865,icon_seamless
icon_outage,2026-01-13,pipeline,0.08132703879358627,
icon_outage,2026-01-13,rules,0.07517983352995027,
icon_outage,2026-01-13,llm,0.08132703879358627,
icon_outage,2026-01-14,pipeline,0.08209867644428857,
icon_outage,2026-01-14,rules,0.08118149278794011,
icon_outage,2026-01-14,llm,0.08118149278794011,
icon_outage,2026-01-15,pipeline,0.16215434539992785,
icon_outage,2026-01-15,rules,0.16475810154497406,
icon_outage,2026-01-15,llm,0.16475810154497406,
icon_outage,2026-01-16,pipeline,0.21670072215222816,
icon_outage,2026-01-16,rules,0.20139247343406896,
icon_outage,2026-01-16,llm,0.20139247343406896,
icon_outage,2026-01-17,pipeline,0.26994543198265625,
icon_outage,2026-01-17,rules,0.2649938990106422,
icon_outage,2026-01-17,llm,0.26994543198265625,
icon_outage,2026-01-18,pipeline,0.240907391486189,
icon_outage,2026-01-18,rules,0.24406452040782564,
icon_outage,2026-01-18,llm,0.240907391486189,
icon_outage,2026-01-19,pipeline,0.13468710652426807,
icon_outage,2026-01-19,rules,0.1418169019405472,
icon_outage,2026-01-19,llm,0.1418169019405472,
ecmwf_outage,2026-01-10,pipeline,0.3380069137166782,
ecmwf_outage,2026-01-10,rules,0.3312310467483454,
ecmwf_outage,2026-01-10,llm,0.3380069137166782,
ecmwf_outage,2026-01-11,pipeline,0.15938681397781418,
ecmwf_outage,2026-01-11,rules,0.1620338558698863,
ecmwf_outage,2026-01-11,llm,0.1620338558698863,
ecmwf_outage,2026-01-12,pipeline,0.14318347479633395,
ecmwf_outage,2026-01-12,rules,0.09461162955096421,
ecmwf_outage,2026-01-12,llm,0.09461162955096421,
ecmwf_outage,2026-01-13,pipeline,0.10507310704502165,
ecmwf_outage,2026-01-13,rules,0.12065420709725999,
ecmwf_outage,2026-01-13,llm,0.10507310704502165,
ecmwf_outage,2026-01-14,pipeline,0.14644290347868,
ecmwf_outage,2026-01-14,rules,0.17327324430182012,
ecmwf_outage,2026-01-14,llm,0.17327324430182012,
ecmwf_outage,2026-01-15,pipeline,0.26571053978970827,
ecmwf_outage,2026-01-15,rules,0.2286532674468564,
ecmwf_outage,2026-01-15,llm,0.2286532674468564,
ecmwf_outage,2026-01-16,pipeline,0.20632186079790715,
ecmwf_outage,2026-01-16,rules,0.2040553335787483,
ecmwf_outage,2026-01-16,llm,0.20632186079790715,
ecmwf_outage,2026-01-17,pipeline,0.2674779730421062,
ecmwf_outage,2026-01-17,rules,0.2669942282835914,
ecmwf_outage,2026-01-17,llm,0.2674779730421062,
ecmwf_outage,2026-01-18,pipeline,0.2830373897546704,
ecmwf_outage,2026-01-18,rules,0.2799117989281817,
ecmwf_outage,2026-01-18,llm,0.2799117989281817,
ecmwf_outage,2026-01-19,pipeline,0.19661684972733787,
ecmwf_outage,2026-01-19,rules,0.18897944812822506,
ecmwf_outage,2026-01-19,llm,0.19661684972733787,
